순위,곡명,가수
1,갑자기,아이오아이 (I.O.I)
2,LOVE ATTACK,RESCENE (리센느)
3,REDRED,CORTIS (코르티스)
4,LEMONADE,aespa
5,It′s Me,아일릿(ILLIT)
6,Pretty Girl,RESCENE (리센느)
7,소문의 낙원,AKMU (악뮤)
8,캐치 캐치,YENA (최예나)
9,"기쁨, 슬픔, 아름다운 마음",AKMU (악뮤)
10,Drowning,WOODZ
11,만찬가,태연 (TAEYEON)
12,RUDE!,Hearts2Hearts (하츠투하츠)
13,사랑하게 될 거야,한로로
14,0+0,한로로
15,Heavy Serenade,NMIXX
16,Good Goodbye,화사 (HWASA)
17,Lemon Tang,Hearts2Hearts (하츠투하츠)
18,타임캡슐,다비치
19,404 (New Era),KiiiKiii (키키)
20,BANG BANG,IVE (아이브)
21,Popcorn,도경수(D.O.)
22,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
23,너에게 닿기를,10CM
24,어제보다 슬픈 오늘,우디 (Woody)
25,WDA (Whole Different Animal) (Feat. G-DRAGON),aespa
26,SWIM,방탄소년단
27,Blue Valentine,NMIXX
28,소나기,이클립스 (ECLIPSE)
29,너의 모든 순간,성시경
30,멸종위기사랑,이찬혁
31,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
32,모르시나요(PROD.로코베리),조째즈
33,뛰어(JUMP),BLACKPINK
34,생각을 멈추다 보면,최유리
35,Deja Vu,RESCENE (리센느)
36,내게 사랑이 뭐냐고 물어본다면,로이킴
37,BAD,ATEEZ(에이티즈)
38,toxic till the end,로제 (ROSÉ)
39,Whiplash,aespa
40,천상연,이창섭
41,그대 작은 나의 세상이 되어,카더가든
42,Runaway,RESCENE (리센느)
43,한 페이지가 될 수 있게,DAY6 (데이식스)
44,봄 내음보다 너를,김나영
45,청춘만화,이무진
46,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
47,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
48,입춘,한로로
49,HAPPY,DAY6 (데이식스)
50,Body to Body,방탄소년단
51,Seven (feat. Latto) - Clean Ver.,정국
52,like JENNIE,제니 (JENNIE)
53,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
54,주저하는 연인들을 위해,잔나비
55,사랑은 늘 도망가,임영웅
56,Do your dance,RIIZE
57,BOOMPALA,LE SSERAFIM (르세라핌)
58,예뻤어,DAY6 (데이식스)
59,VIRAL,BOYNEXTDOOR
60,STYLE,Hearts2Hearts (하츠투하츠)
61,오늘만 I LOVE YOU,BOYNEXTDOOR
62,사랑은 봄비처럼...이별은 겨울비처럼...,임현정
63,첫 만남은 계획대로 되지 않아,TWS (투어스)
64,봄날,방탄소년단
65,Welcome to the Show,DAY6 (데이식스)
66,나는 반딧불,황가람
67,청혼하지 않을 이유를 못 찾았어,이무진
68,사랑인가 봐,멜로망스
69,Love Love Love (Feat. Yoong Jin Of Casker),에픽하이 (EPIK HIGH)
70,FAMOUS,ALLDAY PROJECT
71,APT.,"로제 (ROSÉ), Bruno Mars"
72,Die With A Smile,"Lady Gaga, Bruno Mars"
73,REBEL HEART,IVE (아이브)
74,다정히 내 이름을 부르면,"경서예지, 전건호"
75,시작의 아이 ❍,"박다혜, 마크툽 (MAKTUB)"
76,눈을 감아도(2026),순순희(지환)
77,Dynamite,방탄소년단
78,달리 표현할 수 없어요,로이킴
79,Hype Boy,NewJeans
80,Magnetic,아일릿(ILLIT)
81,SPAGHETTI (feat. j-hope of BTS),"LE SSERAFIM (르세라핌), j-hope"
82,헤어지자 말해요,박재정
83,Flower,오반(OVAN)
84,에피소드,이무진
85,Hooligan,방탄소년단
86,2.0,방탄소년단
87,Love wins all,아이유
88,FOCUS,Hearts2Hearts (하츠투하츠)
89,ONE MORE TIME,ALLDAY PROJECT
90,BLACKHOLE,IVE (아이브)
91,OVERDRIVE,TWS (투어스)
92,순간을 영원처럼,임영웅
93,Flashback,엔플라잉 (N.Flying)
94,이 밤을 빌려 말해요,PLAVE
95,LIVE FAST DIE SLOW,태양
96,I AM,IVE (아이브)
97,Soda Pop,"KPop Demon Hunters Cast, Danny Chung, Saja Boys, Andrew Choi, Neckwav, Kevin Woo, samUIL Lee"
98,"TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush)","김하온 (HAON), Nosun, Raf Sandou, Marv, 정준혁"
99,FYA,방탄소년단
100,우리들의 블루스,임영웅
